text                ,category
My kind advice if u want to make a film on LGBT community then make it perfectdont go with blind ideabring out the right feel and their intense feelingsthat will make u a good and true filmmakerall the very best                ,Hope-Speech
Even I am straight I support this we have to treat all as humans                ,Counter-speech
Pavom that akka                ,None-of-the-above
Super broi salute for this konsep and team                 ,Hope-Speech
Bro Vera level bro semma No words to tell               ,Counter-speech
Who is she                ,None-of-the-above
Why do these LGBT couples have to adopt children and screw up their minds too when you dont believe in natural selection and procedure of reproduction why go for children  Doesnt everything contradict here                ,None-of-the-above
Really great bro                ,None-of-the-above
Rombha boring bro please  make something  good                ,None-of-the-above
Hats off for you                ,None-of-the-above
If you pls share me the link                ,None-of-the-above
Please add subtitles This needs international recognition                ,None-of-the-above
madam malinitell me which religion history allow lgbt dont think when u overconfident  it all rightlook at ur attitudelook at the way you talkthat why lgbt seeing as too much                ,None-of-the-above
When start tha prank                ,None-of-the-above
Thankyou so much for your motivational speech you are a source of positivity and positive inspiration                ,Hope-Speech
I dont understand why are you in my recommended                ,None-of-the-above
Kindly search homosexuality in animal kingdom in youtube go through Btw its not your fault you have been raised in that way                 ,None-of-the-above
She Is So Beautiful   1106 Bonda Ma3 Iruka Ashiq                ,None-of-the-above
I think people need to be educated well Even my mom supports homosexuality and their rights We are in no place to judge them I think people are being ridiculous by judging others                ,Counter-speech
Now heavy gopal in chennai                ,None-of-the-above
Please tell the details about the PUB                ,None-of-the-above
very lively and lovedy  kannuu   i pray u become more stronger and stronger                ,Hope-Speech
Amma acting                  ,None-of-the-above
Im tg nivetha part two pathutu answer pandren                ,Counter-speech
Seriously i read the topic again and againTransgendercoz apdi theriyave ilaseriously so cute                ,None-of-the-above
Bro speak about subash chandra bose                ,None-of-the-above
God bless you everyone                ,Hope-Speech
She act like man who ever this she going to act like man                ,None-of-the-above
Shoot him all Dust bin                ,Homophobic-Threatening
Nice to                 ,Hope-Speech
19 year old I am proud about Iam Bisexual               ,Hope-Speech
Really                  ,Counter-speech
Anna pls speak about transgenderI am from Karnataka I am following u from so many days pls Anna its my hambal request                ,None-of-the-above
Fully script story only                ,None-of-the-above
what an altitude                ,None-of-the-above
Priya S   answer this  if Satan punishes bad guys in kill then how can he be a bad guy                ,None-of-the-above
Dislike people of this video are non humanityDoesnt have any eligible to live in the earth                ,Homophobic-derogation
IN india how many of them folowing our culture all men wearing tshirt phant is this thing is our culture                 ,None-of-the-above
Bro wating for part 2                ,None-of-the-above
Love is Love And Everyone should be able to Marry their loved one irrespective of their gender under consent without any regret Genuine loving people are affected by poor closeminded peoples laws  1st  India already had Homosexuality in their Culture  2nd  British came ruled us and made the section 377 to ban Gay sex which obviously means  some Indians were gay at that time  3rd  British went back and Normalized Gay love and legalized Gay Marriage Here we are still holding on to their colonial era law and stigma around that they left behind as like English language Time is High to revive a Basic Human Right to Love and our Indian culture which also includes in itself LGBT community   PS You dont have to be Gaylesbian to voice out for LGBTQ rights just the way You dont have to be a Woman to supportvoice out for Womens rights                ,Counter-speech
Hes exposed that place front of public                ,None-of-the-above
They are doing making public fully damage                ,Homophobic-Threatening
Best ever hearted one Live long Happy in this world Huge Love Best carer                ,Hope-Speech
Because of society Then the problem is with us because we are part of the society                ,Homophobic-derogation
U r so beautiful Katrina I love u so much and I accept u                ,None-of-the-above
Prize the lord                ,None-of-the-above
lol just leave I wont change my perception bcz in my clg life something like this happened to one my frnd I dont wont explain that so I wont support those butt fuckers                ,Homophobic-derogation
HARI HARAN T  Ur watsapp number                ,None-of-the-above
Nice comment Thanks for supporting LGBT people                ,None-of-the-above
The judges is a wrong persons so judgement also wrong decisionSo we have to re appele supreme Court                ,Homophobic-derogation
Very Proud of you madhan                ,None-of-the-above
Thanks to Arun Reporter                ,None-of-the-above
Waiting fr part 2 video                ,None-of-the-above
NICE TOPIC I LIKE IT                ,None-of-the-above
Make a video about laws of attraction                ,None-of-the-above
Plz give any valuable gift to her True Heart                ,Counter-speech
Im a pansexual person  I always wanna be like me and I like people not their GENDER                ,Hope-Speech
Self experience oh                ,None-of-the-above
Really great  hattoffs                ,None-of-the-above
Salute Best prank ever It gave a full respect on her                ,Counter-speech
I love how Karthik family is so caring about Varun                ,None-of-the-above
Malni the great salute                ,None-of-the-above
Mohamed Ali  497 Its not okay fr me But as far as Ive read adultery can b used as a reason fr divorce so if my partner cheats me I would rather move out divorce rather than blackmailing them with the law As far as Ive understood about relationship a law isnt needed to hold a promise of monogamy                ,None-of-the-above
How intelligent she is                ,None-of-the-above
Truly good series happy to see it again n wow Lathif Character is Amazing n nice story We gays should be proud of this n awesome                ,None-of-the-above
Anna Im crying because ur acting super anna                 ,Hope-Speech
It is easier for girls to talk openly about this topic than guys You will never get a true answer if you do public opinion in this topic  Most Muslims and Christians Sangi type Hindus less educatedexposed people and egoist males wont accept All they care about is progeny and populationIt takes a lot of emotional intelligenceEQ to  understand and care about human emotions living a false life false marriages divorces psychological issues suicides and depression                 ,Counter-speech
I really salute to both                ,None-of-the-above
Hi I am Joe Please contact    Whatsapp                ,None-of-the-above
Dont cry pa                ,None-of-the-above
Really  akka and Anna your are a great people                ,None-of-the-above
shinchan shinchan  well said                ,None-of-the-above
Thanks for making this movie                 ,None-of-the-above
Labeo Rohita thanks bro                ,None-of-the-above
Gay life very good                ,None-of-the-above
I think its mental illness Go and consult doctor                ,Homophobic-derogation
I am waiting for your second part                ,None-of-the-above
Who cry when she dance for him Yes Im crying               ,None-of-the-above
I am also waiting anna                 ,None-of-the-above
who created the cell phone  is it natural  No  How can you say  natural  use God name                ,None-of-the-above
Bible says a lot more But I dont think anyone amongst us lives word by word relating to bible And before quoting these verses that prick and blame others remember to remind yourself the most important verse from bible  love your neighbour as you love yourself                ,Counter-speech
J Marie why  They r not going to harm others  they have to protect themselves from people like you                 ,Counter-speech
This channel is so proud full this help many poor peaples and more tq s for all helps                ,Counter-speech
stupids of the india                ,None-of-the-above
Nancy jasmine  somighting standing straight for intercouse                ,None-of-the-above
Some persons only did comments                ,None-of-the-above
Unga channel la enoda first comment extraordinary work bro chanceless                ,Counter-speech
ஐயோ over da  You should know the scientific reason behind iT               ,None-of-the-above
We want to know about   great king cholan   sleep pharalasis unble to move whilr sleeping              ,None-of-the-above
LGBT Communities of Chennai  There is more to the life stories of people from LGBT Communities They live among us Trying their best to carve out a life and identity for themselves in a society that is no so approving  Read about their life stories Inside Out  Exclusively          ,Counter-speech
krishna kumar  It doesnt matter whether parents accept it or not Every soul in this world has rights to do what they like except illegal things Since IPC 377 has been abolished by our govt LGBT community has rights to express their love and they own respect too                ,Counter-speech
377 Its not criminal offence its a dieasesHarmons problem                ,None-of-the-above
Your are great                 ,None-of-the-above
Part 2 next year                ,None-of-the-above
Super brother                 ,None-of-the-above
Gud advice bro                ,Hope-Speech
Bro definitely millions  of views  best wishes for u                ,Counter-speech
What ever love is beyond everything                ,None-of-the-above
Bro tell about gaming addiction                ,None-of-the-above
She looks so beautiful                 ,None-of-the-above
Male chromosome is weaker than female one So this may be true                ,Homophobic-derogation
vikki hot I am also heamosex                ,None-of-the-above
Govind svi other country ppls thougt that our country is like other countries but we only know our country is an more culturals and Some special functions                ,None-of-the-above
Our society is some time very evillll                ,None-of-the-above
she is so beautiful by heart too  Ive never saw an actress so GROUNDED  Especially when she does make up for VJ Ashiq                ,None-of-the-above
I believe in todays time The only relationship without lust is between lgbt people Great movie                ,None-of-the-above
See sir sex intention people not joint with same gender it there natural feeling sir understand that all people not do this some people done this because that type God created them is not there mistake please understand sir                ,Counter-speech
Malini has got right point of view and looking handsome                ,None-of-the-above
super storybut it wont happen in real life                ,None-of-the-above
LOve doesnt come after deciding wht organ the other person got  love can only see and fall for another heart simple as tht                ,Counter-speech
Very good movie Really i too face this problem its very difficult to convince about our identity to others Bcz sometimes they wont understand our feelings                 ,Counter-speech
Prayers for Bobbie2009 is the best ever coming out and inspirational movie Ive ever seen Its based on true story about an orthodox family who resfuses to accept their sons identity Its so inspiring that Ive watched 5times Try it                ,None-of-the-above
Bro vera level bro yappo bro part 2 varum iam waiting bro                ,None-of-the-above
U r right                ,None-of-the-above
Adhu animal Also animals ku human language varaadhu so they cant tell u they want to have sex with u Also they dont know wats canned consent                ,None-of-the-above
Really emotional touch pannitinga Nanba                ,None-of-the-above
Money minded fair skin people getting everything easily Rich fair high class nowadays all Are gay it spreading nowadays This is recent suitation in India             ,Homophobic-derogation
Wow super my dearest beautifully friends really I love you my sweet beautifully friends                ,None-of-the-above
Dont act too smart to prove the sin as purity God has created us to live holy life  unless God breaks drakness from your heart and mind you will be speaking like this only SIN IS SIN ALWAYS WHO EVER DOES IT IN ANY CASTE COMMUNITY  RELIGION                 ,Homophobic-derogation
Good morning and Happy Republic Day sir                ,None-of-the-above
The mivie us Asm                ,None-of-the-above
Identify what Should they hide it                ,None-of-the-above
Prateekshaa  Mister Ive read about it more than u Ive read the long judgement of supreme court as well If the courts have given the decision theyve surely done it by reading reports of worlds best medical sciences and too and fro judgement for years now And Ive read many world medical reports on these So I guess u need to be more educated Check ur sources and read properly to get more knowledge Pls dont comment with half baked facts                ,None-of-the-above
Thanks for your feedback                ,None-of-the-above
ramz mesh  Youre the actual fool One day Jesus will come and people like you will go to the hell forever Then only you will understand who is the fool REPENT                ,Homophobic-derogation
Subashree Murali thanks macha                ,None-of-the-above
Tear full moment                ,None-of-the-above
Part 2 release soon bro                ,None-of-the-above
Y this girl speaking full of rymes  Y she cant speak normally See that anchor he s speaking normally             ,None-of-the-above
Grow up homophobic kids                 ,None-of-the-above
you are great GOD bless you bro               ,None-of-the-above
Super Vera level thambi I am waiting part 2                ,Hope-Speech
Bro there is a God who has created you                ,None-of-the-above
Awesome video if we cant support them even just give respect to them                ,None-of-the-above
Super acting bro keep it up bro                ,Hope-Speech
Bro hope Ur family also support this                ,None-of-the-above
Theru nangai not bad shes good                ,Counter-speech
Only swiggy boys in Nungambakkam knowshe is worst and behave like rowdy                 ,None-of-the-above
Bro Vara level Iam Provide of You                ,Hope-Speech
Dont worry bro everything will be alright Just wait for that time And dont stop to convenc one day they will understand               ,None-of-the-above
Man ur so so so so cute man love man U reminds me of my lost friend I respect u a lots                ,None-of-the-above
Vera level acting super bro                ,Counter-speech
Respect to transgender                 ,None-of-the-above
I think actress Katrina will be apt for ur title Please update ur title                ,None-of-the-above
754 to 805 am crying anna  vera level                ,None-of-the-above
That transgender is good hearted yaar and hats off to his acting da Semma da                ,Hope-Speech
She look gorgeous                ,None-of-the-above
Stay homestay safe                ,Hope-Speech
I need gay life partner                ,None-of-the-above
What is stright                ,None-of-the-above
Its crt only its their own choice                ,Counter-speech
Rizwan Mn Ya i will msg u whatsapp soon Inforn we chat msg whatsapp Ok             ,None-of-the-above
Proud of you Amma                ,Hope-Speech
Culture determines our next generation  these kind of things will spoil our future generations                ,Homophobic-derogation
Mathi Azhan  number                ,None-of-the-above
Hey seriously I thought She was a Transgender                ,Transphobic-derogation
Visuvanathan swamynathan  thanks Viswanathan everything is in our hand we should be confident in what we are doing what ever u said I too faced everything in life but now a better person in society my kind advice never ever depend on others then nice chatting with you                 ,Hope-Speech
The worst thing a person could go through is loneliness and being cornered I think every person is different and special They have their own beliefs unless and until it doesnt harm anyone i feel its ok let them be the way they want its high time we start accepting all kind of people im not just talking about homosexual let me remind the society one thing the society is us everyone are part of society the change should come within you first then the society will change                ,Counter-speech
Great movie and it is very well taken The music by Gautham is so very good with the right tone and emphisis Dilip And me thoroughly enjoyed watching it to the last minute The time and patience withe diversity in human creations was put forth in a very positive manner seeking the understanding and blessings of the parents                ,Hope-Speech
You look a bit like TV actress Vani Bhojan You have gone through so much Sennila be brave much love and blessings to you                ,Hope-Speech
Yes thank you                ,None-of-the-above
Malini  Wat justice you give for  innocent  people betayed by homosexuals like u                ,Homophobic-derogation
Vera lvlyaaaSo many goosebumps moments in this videoHats off to your workSoon You will be the top prank channel in tamilAdvance congrats                ,Counter-speech
Keerthana Jayavel Will u parents accept it               ,None-of-the-above
This is best pranks show                ,None-of-the-above
This comes from devil not from God                ,None-of-the-above
Title should have been alghan Latif good actorgood voice I love him                ,None-of-the-above
Is going against nature right Destroy the nature who is going to suffer In the same way this law will show its bad impact very soon  people who are bound to family and culture keep your children safe  teach them the value of nature from the childhood because the future is going to be worst because of lgbt freedom                ,None-of-the-above
She is so pretty                ,None-of-the-above
Diversity exists Differences exist You need to embrace it You cant act like there is no such thing Acknowledge them and accept them You cant close your eyes and hope that the world is star spangled awesome                ,Hope-Speech
I do not judge him or herEvery human may have spirits that live with themTB Joshua delivered the person with a man spirit t  a woman making  them a man  and a woman spirit  a man making them a woman Prophet  TB Joshua  delivers them and set them freeNow they live in a normal life with Jesus Christ                ,None-of-the-above
Muhammad AzeemSH  Im an mbbs students ppl have researched on the basis of homosexuality and found that a certain locus in the x chromosome is responsible fr a persons homosexual tendencies which is expressed thru epigenetics So there u go The so called scientific proof u needed coz u cant mind ur own business                ,Counter-speech
bro  live as You wish Good luck                ,Hope-Speech
What is the meaning of physically harrassed child I cant understand                ,None-of-the-above
A Bold step was taken by Maniji to give a strong message to the society in a beautiful way Latif and Harishs dad have done a great job Kudos                ,Hope-Speech
Unconditional love amma   I love you amma  ethan sir கடவுள்                ,Hope-Speech
Y this video too late bro                ,None-of-the-above
Sharath S yesa big thumbs up                ,None-of-the-above
The crew has done the greatest work in tamil industry Hats Off to the crew members well done Thanks for uploading this movie                ,None-of-the-above
Storyline 100 Acting  100 Emotions  100  Over all its a movie that everyone should watch            ,None-of-the-above
Any lesbians or gays here                ,None-of-the-above
They are equal to God so give respect for transgender people                 ,Hope-Speech
Societys words r induces them 2 suicide It should b stopped                ,None-of-the-above
Semma acting thalaiva                ,None-of-the-above
Thank you so much                ,None-of-the-above
Vas im  LGBT means Lesbian Gays Bisexual Transgenders They r form of alternate sexualities U can read abt them in WHO website or from indian or american psychiatric association websites Hope u know how to read                ,None-of-the-above
Ur post are awesome bro                ,Hope-Speech
Balamurugan M  I dont worry why mobile number here                ,None-of-the-above
Ithu ovvoruvarinathum thanippadda viruppam                ,None-of-the-above
I love this I mean Seriously Could u post this friggin everywhere Ready Set Go                ,None-of-the-above
Aww she is so cute compare more boring face girls                ,None-of-the-above
I want heart from tmp                ,None-of-the-above
Anna front and front super anna                ,None-of-the-above
Yes animals not doing like that  then one more do you resently what happening in chennai 8 year girl was rebed to 13 jens just think about which doing like that i think animals better to yours                ,Homophobic-derogation
how body building dtarts                ,None-of-the-above
Bro vera level very good try Keep it up                ,None-of-the-above
Talk about the cultures and the festival celebrated in the whole india                ,None-of-the-above
I dont agree with homosexuality because I am not homosexual but if people are like that let them be who they are Its not about culture it about the heart and who you love dearly Thats all I have to say and we respect each other for who they are                ,Homophobic-derogation
Nice concept  hatts off u bro                ,None-of-the-above
Supper sister God bless you family                ,Hope-Speech
Bro i am waiting for part 2                ,Hope-Speech
915 Is that a smirk Im seeing                ,None-of-the-above
I dont know how my life will go But I know My life will be like this movie I will be with my mom and with my family Love u  mom Love u my sweet  hasbend Im waiting for u baby                 ,None-of-the-above
Dude all ur videos are too good Im eagerly waiting for your next video  Repeatedly listening to the videos again and again Awesome dude                ,None-of-the-above
Really weird hate those unhuman man                ,None-of-the-above
I think its scripted episode but good                ,Hope-Speech
black sheep  I am the Director of that film                ,None-of-the-above
Tamizh is the oldest living language but not the oldest There r others the old brami script indus valley script egyptian mesopotamian otherw                ,None-of-the-above
514 the way she winked                ,None-of-the-above
Iam ur new suscriber this videos awsome                ,Hope-Speech
Vantalunga Uber cool feminist hypocrites Always talking about LGBT and other shitt                ,Homophobic-derogation
No more words  Sago                ,None-of-the-above
Bro Vera level Acting Arumai                ,None-of-the-above
No hate feeling in gay boy                ,None-of-the-above
Human being person Not forced this kind of people We are dont care about the Male or female just human being                ,Counter-speech
who need to stop this because my friend is like this                 ,None-of-the-above
Finally they got freedom let them live happily                ,None-of-the-above
Dont worry akka ur dreams will come true                ,None-of-the-above
Thanks for the video mani brother                 ,None-of-the-above
Perumalwatch this video with ur familylater we comment abt ur statement                ,None-of-the-above
Sanjiv a I m extremelyJust because she cant have straight  relationship that doesnt mean she cant have any other option Besides that it is her wish and why are u forcing her to be something that she not into Dont u think u violating her privacy                ,None-of-the-above
Cine field actors are not hero You are the evergreen hero I really impress your  Motivational speech Bro  Keep it up you will sucess in each and every minute congratulations bro             ,None-of-the-above
If only she have changed her voice cord she would have looked perfect overrall                ,None-of-the-above
Video about match fixing in cricket especially match fixing in 2000 Ind vs SA series                ,None-of-the-above
Part 2 waiting                ,Hope-Speech
Malin darling love you lots                ,None-of-the-above
In this world the most kindness human being is transgender                 ,Hope-Speech
i salute i am not interested and opposed to same sex relation but this film takes few minutes to thing what is wrong with those person they are also human being we have to sry i hav to respect those persons   At any point of time dont hesitate others feelings and love             ,Hope-Speech
Im sure people dont like the title of this video Its obvious this channel did it for clickbait but it can be used in a positive way as well For people that are transgender or going to become transgender this video can be a motivation that transgenders are able to rise from all challenges and be happy and successful                ,None-of-the-above
Thank you for ur loving 5 years age you was taken this film but am seen today only                ,None-of-the-above
I  love this movie                ,None-of-the-above
this was good great                ,None-of-the-above
jesus baby  Hi                ,None-of-the-above
Very nice your feeling will be good                 ,None-of-the-above
Expecting the changes                ,None-of-the-above
how to become a professional socccer player plz bro                ,None-of-the-above
absolutely u r right bro                ,None-of-the-above
Liked this film very much Happy ending is such a rarity in gay themed films                ,None-of-the-above
Pls do change the title for god sake                ,None-of-the-above
Transgender many people good only                ,Counter-speech
Vara level acting bro                ,Hope-Speech
How many of you know she is better than meets mithun super model                ,None-of-the-above
While watching my eyes become tears                ,None-of-the-above
Really heart touched performance hats off you                ,None-of-the-above
Habeeb Aslam oh please  there is nothing called eternal hell god is not cruel stop reading all these bullshits                 ,Counter-speech
Nice story and nice characters                ,None-of-the-above
Nice engaging movie on gay love  Companionship and compatibility are more important in conjugal relationships than just bearing children to perpetuate the family tree                ,None-of-the-above
We are a like this movie Its very inspirational movie   waite for part 2 or next movie                  ,None-of-the-above
how about me  do i look transgenders                ,None-of-the-above
DRAGON BALL FAN  I know actually And I know whats a condom Thanks fr the info buddy but Im monogamous so I assure u neither I nor my future partner are gonna cheat Also I will always use a condom                ,Homophobic-derogation
We are waiting for part 2                ,None-of-the-above
I was heart touched when u cry                ,None-of-the-above
Still not prove it is not natural if they can prove they will ask legalize                ,None-of-the-above
Karthik Karthik  Hi kaarthick iam karthick                ,None-of-the-above
U r lucky to born at India sister  Here at my country big issues going on Our islamic friends against  LGBT community                ,None-of-the-above
Wow    Look at her attitude  and how cool she handles things just like that  Lover her Chennai slang                 ,None-of-the-above
Great explanation                 ,None-of-the-above
Muhammad AzeemSH   but now adultery is legalised na                ,None-of-the-above
One of the best video bro vera level                ,Counter-speech
good attempt  latifs acting was good                ,None-of-the-above
Thanks for choosing this topic                 ,None-of-the-above
Super Bro I am waiting next vediounga hangout ID solluga bro                ,None-of-the-above
Congrats to Vikkimedia and full Team of the movie                ,None-of-the-above
RAVI RAGUL already done that topic by madan gowry                ,None-of-the-above
Very nice natural thanks bro                ,Hope-Speech
Social work continu bro                ,Hope-Speech
ashok kumar  crct thaa broI have a huge respect on them even tho this video is scripted I like this concept                ,Counter-speech
Malini ask questions why u can give answer because is true every body gives comments is very bad but u think after u get answers I support                ,None-of-the-above
Please dont worry he will definitely come back to u  I prey to the god                ,None-of-the-above
Super true speech good                ,None-of-the-above
I should agree that im seriously shocked to see someone come out in tn in a good way though Keep going We support you                ,None-of-the-above
Vignesh Gv tamizha tha bro                ,None-of-the-above
Sema bro  Part 2 waiting bro                 ,Hope-Speech
Shrinivasan Kannan  if u had thought that previously u should have shut up b4 commenting shouldnt u                ,None-of-the-above
Sexual orientation is not a choice Its decided when the human is conceived Thats why a heterosexual is not attracted to a person belonging to the same sex as hishers                ,Counter-speech
Very very nice movie i like latif character and his act Needful movie for our country and for our society               ,Hope-Speech
Avoid so many men friends gather one man and love himdo some small daily business like flowers vegetables                ,None-of-the-above
i saw your film on CIQFF  BIg thanks and wishes Long way to go 3                ,None-of-the-above
Karthik  how are you bro                ,None-of-the-above
I stumbled across this movie by chance What a work it is Simply the best  The story line the actors and their acting all are in the perfect frame Really made my day Thanks for this classic work                 ,None-of-the-above
This is very bad                ,None-of-the-above
Very nice heart is feel                ,None-of-the-above
whu is shee                ,None-of-the-above
No fuck  but Romantic  and little suck with my old gay friends                 ,None-of-the-above
I love this movie so mucham also interest with male frndspls understand  feelings                ,Hope-Speech
I still dont have clear understanding about this and hence everything is not convincing me But this girl is awesome                ,None-of-the-above
That wordsna irukenjust passed through mah                 ,Hope-Speech
Waiting for part 2                ,Hope-Speech
Where about our thalaivar already get 200 likes                ,None-of-the-above
I was actually searching for what he said  transgender until I heard her voice She honestly doesnt look like that tho Even some girls have deep voice too Shes beautiful                ,None-of-the-above
She is 1000 beautiful then Meera Aunty                ,None-of-the-above
First prank make me crying                 ,None-of-the-above
Semma azhagu Katrina  neenga  All the best for your future projects                ,None-of-the-above
Every society has its own evils in different forms  United States has the highest Rape percentage Nirbaya like cases are very very common in United States  But ironically neither media nor the people themselves dont care about that Why Because they knew that the rapes will common when you live in this kind of cultured society  Saudi Arabia has the least rape percentage among all nations and always commented about its culture is not good especially bad for women  But what the Girls expecting is I need to be like in United States but I need maximum safety like in Saudi Arabia  How could be it is possible                ,None-of-the-above
Really nice story and message to the society  LGBT and parentsReally lathif character is amazing and well screenplay Keep it up and best wishes                ,Hope-Speech
Brothers God Bless you                ,Hope-Speech
She is beauty                ,None-of-the-above
India is never civilised more than westernerswe r a bunch of conservative bigots                ,None-of-the-above
Nice film Latif is beautiful character and hamed aand doctor is nice answer reply for Haris father questions Haris is good boy but Latif is impression me                ,None-of-the-above
How to contact u yesi sathish as a frnd                ,None-of-the-above
Heart breaking vedio                 ,None-of-the-above
What a wonderful film We should celebrate this film and their team Hats off                ,None-of-the-above
She is more than human true soul                ,Counter-speech
Yacoob Mohamed loosu madhuri oru comment hetro sex person                ,None-of-the-above
Bala kumar  she is right we dont need Ur opinion Bala Kumar                 ,None-of-the-above
