,text,Labels
120,"Sex organ means gamete producing organ i.e. testies (andakosh) in male OR ovary(andashay)... 
Transgenders don't have these.",Non-anti-LGBT+ content
121,I'm gay from up North hamne kabhi apna nahi soncha onli ma bap ko khush dekhna chahta hu isliye kabhi kisi ko bola nahi ab kam ki talash hai kisi maim ya Sir ko family draivar ki zarorat hai to bolna pleez mujhe khana bhi banana aata hai shukriya,Non-anti-LGBT+ content
122, @Sabita Hansda  tumarhe parents tumhe moral values sikhana bhul gye,Non-anti-LGBT+ content
123,Mard se aurat bane ine logon ne kya abhi tak koi bacche paida kiye Hain ya nahin,Transphobia
124,"Sir ji apka transgender wala topic wrong h ,, transgender or kinnar alg h,,,, transgender means jo apna xender purus se mahila or mahila se purush m paribartan karta h by operation,",Non-anti-LGBT+ content
125,Sir ap ko dil se salute,Non-anti-LGBT+ content
126,Mujhe bhi apna ling chanj karwana hai,Non-anti-LGBT+ content
127,Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Non-anti-LGBT+ content
129,Hii,Non-anti-LGBT+ content
130,सर आप किसी भी टॉपिक को बहुत अच्छा समझाते है....,Non-anti-LGBT+ content
131,Bahut Achha explanation 🏵✍️,Non-anti-LGBT+ content
132,Jiya ho Bihar me lala bahut achaa samjhi ha ha khan sir,Non-anti-LGBT+ content
133,Sir jaruri nhi ldka attact h to dusra ladka attacrt ho jaye,Non-anti-LGBT+ content
134,सर इंटर सेक्स वाला है वो कैसे किसके साथ सेक्स करेगा,Non-anti-LGBT+ content
135,"He's wrong in this topic. Stop idolizing him. He's not educated enough about gender identity, queer Or LGBTQ+ community.",Non-anti-LGBT+ content
136,Tumhare  zamane mai rog hoga is zamane mai nahi hai update kar lo khud ko,Non-anti-LGBT+ content
137,Daya ben voice over kr rhi h is video ka🤣😂,Non-anti-LGBT+ content
138,Meko aaj samjh aya re baba.,Non-anti-LGBT+ content
139,Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Non-anti-LGBT+ content
140,"If you don't have enough knowledge on a particular topic, just don't make video about it. Get a medical degree before calling homosexuality as a "" Mental disorder """,Non-anti-LGBT+ content
141,Thanks sir i randomly found this video but this is super..i used to  be confuse every time when i read about them any where but now my concept is clear...,Non-anti-LGBT+ content
142,जो इन्टर सेक्सुअल होते है क्या वो किसी लडकी या लडके से या दोनो से बारी बारी सेक्स कर सकते है और वच्चा हो सकता है,Non-anti-LGBT+ content
143,Mentally disorders Nahi hota hai 😂 hormones ki waja se hota teacher ji phele khud Tu Sahi information collect karlo😂😂😂😂,Non-anti-LGBT+ content
144,"Mujhe 🙃
I acpt myself",Non-anti-LGBT+ content
145,Khan sir  ap great ho,Non-anti-LGBT+ content
146,Tera appreciation manga kon ?,Non-anti-LGBT+ content
147,Bhagwan dushman k saath bhi na kre ye sab....,Non-anti-LGBT+ content
148,अबे यार गूगल पर डालो तो साला समझ है नहीं आता सही से।पर आज सब आ गया 👍🙏🙏,Non-anti-LGBT+ content
149,Hi,Non-anti-LGBT+ content
150,Ab jankari juta hi liye to try krke dekh lo,Non-anti-LGBT+ content
151, @Aryam  iske cause bhi pata honge tabto?,Non-anti-LGBT+ content
152,Nai,Non-anti-LGBT+ content
153,😐,Non-anti-LGBT+ content
154,Apko Esme bohat interstate he sayad😀😀,Non-anti-LGBT+ content
155,12 ki live class kb chalti h please btaiye,Non-anti-LGBT+ content
156,"जय हिंद सर आपका बहुत-बहुत धन्यवाद
आमिर खान का एक सीरियल आता था सत्यमेव जयते उसमें भी यह सवाल उठाया था",Non-anti-LGBT+ content
157,Taki sb confused hoke pgla jaye.😐,Non-anti-LGBT+ content
158,"Jab XX  XYL Mil Jaata Hai 
Tab Gay Paida Hota Hai

XX in MALE
XY in Female
L in Lib
= Neutral

XL = नामर्द
YL= बांझ औरत (Rare )",Non-anti-LGBT+ content
159,depends tomboy sirf ek term hai ye koi sexuality nhi hai,Non-anti-LGBT+ content
160,Waah guru waah bohat asha samjate ho aap,Non-anti-LGBT+ content
161,"Thank u sir, mughe isme  bahut confusion lekin ab khatam ho gaya",Non-anti-LGBT+ content
162,"Isse jyada koi nahi smjha skta..!!
😊😊",Non-anti-LGBT+ content
163,Sir bisexual m dal sakte h. Qya jaise earthworm 🙏🏼🙏🏼,Non-anti-LGBT+ content
164,Transzender nahi samjhe,Non-anti-LGBT+ content
165,Nikki to sakti m aa rhi h heer ki nand ban kar sayd,Non-anti-LGBT+ content
166,Yes... Jabse insaan ka astitva raha hai,Non-anti-LGBT+ content
167,Khan Sir Aap Mujhe bahut pasand hai,Non-anti-LGBT+ content
168,🤣🤣🤣🤣waaah kya samjhaya h,Non-anti-LGBT+ content
169,"Hamare desh ko samajik sudhar, sahi soch ki bahut jarurat hai",Non-anti-LGBT+ content
170,"Kinnar, hijada, chakka 😂😂😂😂😂😂😂😂 desi language OP 😂😂",Transphobia
171,Bhagwan ka sukra manaiye ki aap ko bhagwan ne sahi paida Kiya hai. Kya bat boli hai sir aapne,Non-anti-LGBT+ content
172,10 million kar do khan sir kai ❤️❤️,Non-anti-LGBT+ content
173,"Sir beshak aapne pura topic cover kar liya. But out of respect I would like to add some things :- 
1. Transgender bi 2 tarah ke hote h - MALE transgender(jinki body male ki lekin private part female ka) & FEMALE transgender(body female ki aur private part male ka)",Non-anti-LGBT+ content
174,Sab ladke ladki bne ...par koi ladki ladka nhi bani😂,Non-anti-LGBT+ content
175,Respect her...she is so knowledgeable person..aysa lag rahi hai unke baaten sirf sunte jau...wow...God bless ..actually  kinnar kuchh nehi hota ..sab ham insaan hai,Non-anti-LGBT+ content
176,XD,Non-anti-LGBT+ content
177, @rajeev ranjan  एक काम करो भाई आप आप लड़का से लड़की बनजाई translet कर के किया दिकत है,Non-anti-LGBT+ content
178, @Rahul Mittal  🙏🙏,Non-anti-LGBT+ content
179,"कबीर, मानुष जन्म दुर्लभ है मिले न बारंबार तरूवर से पत्ता टूट गिरे बहुर न लगता डार।।",Non-anti-LGBT+ content
180,"purani video hai , nayi video dekho usme accha hai",Non-anti-LGBT+ content
181,Itna gyan kah a se laye sir,Non-anti-LGBT+ content
182,Normal topic hai bro - tumhare liye new ho ga,Non-anti-LGBT+ content
183,❤❤❤❤,Non-anti-LGBT+ content
184,Sir non binary kya hota hai,Non-anti-LGBT+ content
185,Do your homework before making a video on sensitive topic,Non-anti-LGBT+ content
186,"please remove these two vulgar words -  हिजड़ा, छक्का 😡😡😡😡😡😡😡 this is totally disrespectful",Non-anti-LGBT+ content
187,"Being lgbt is not a mental disorder, this guy needs to educate himself!! I'm a lesbian and a very very proud one! I am as normal as everyone else! And yeh kam nahi hota hai, itna ghatiya samaaj hai ki log apne andar ghut te rehte hain bata nahi pate.",Non-anti-LGBT+ content
188,"Sir merko naa to ladki passand aa rahi hai aur na ladka.

Khadda bhi ho jaata hai..😂😂😂😂😂


Doctor ke paas jaaun kya?😑😑",Non-anti-LGBT+ content
189, @Juhi sha  jaky fir khud puchoo allh se Kyu banaya  inko chakka...waisa b Jo alaah. Janta hai woh koi nhi janta,Non-anti-LGBT+ content
190, @Anurag Pawar   Abe To Kya Hua Fir Bhi to samajh a Raha Hai Na Sabko Aisa To Nahin kya samajh Nahin Aata hoga han aur Gyan kisko de raha hai tu Tujhe Kuchh bola kya Teri Itni Kyon jal rahi hai,Non-anti-LGBT+ content
191,"चाहे जो हो धर्म तुम्हारा चाहे जो वादी हो 
नहीं जी रहे अगर देश के लिए तो अपराधी हो ।🙏🌺🌺🌺🌿",Non-anti-LGBT+ content
192,"Nice explanation ... Hame in logo ki respect krni chahiye qki ye bhi hmare samaj ka hissa h.
Pr kuch mansik roop se bimar log inhe inke hi samaj m rhne se rokte h inhe vanchit rakhte h or bhul jate h ke ye samaj or vatabaran jitna unka h ,utna hi in logo ka,. Mansik roop se ye log bimar nhi h, balki vo log bimar h jo normal hote hue bhi inke sath abnormal pesh ate h , yr ye bhi insan inhe bhi us nature ne banaya h jisne hme .. Thodi to respect kia kro",Non-anti-LGBT+ content
193,"Sir, male male se kaise hoga.... Loha loha takrayega to chingari niklegi",Non-anti-LGBT+ content
194,"Sir , Usko kiya bolte hei ..jo operation karke Ladka see ladki banke Shadi boy se kar leite hei ...kiya wo 3rd gender hei ..meine toh ushe transgender samja thaa ...🙄🙄🙄 3rd gender train mei milnewale ko",Non-anti-LGBT+ content
195,"Please
Inter-sex फिर से समझाए",Non-anti-LGBT+ content
196,Bhai tuje konsi bimari he. Mentally ya physically wo bhi bata,Non-anti-LGBT+ content
197,Bilkul sahi kaha,Non-anti-LGBT+ content
198,Kisi ladki ko ladko ki aur dekhana bura mana jata hai isiliye phir woh ladkiya ki aur attract ho sakti hai ya,Non-anti-LGBT+ content
199," @Kishori Ji  Tumhari soch etni gawaro jaisi hai... Homosexuality se Kya ho jayega... Apni purani soch ke Sath Jio.. Tum
 you can't growing your self... Kya matter karta hai.. Sabki apni personal life isse Kisi ko kya dukh hoga... And don't think ...im not agay because I'm married I have my own kids 😎",Homophobia
200,Ghar wale maarenge ya datenge but they will save you from any condition … and they are the only one who will standup at any cost nor your friends… talk to them ❤,Non-anti-LGBT+ content
201,Jai hind sir,Non-anti-LGBT+ content
202,Aawaz record achi nhe hoi,Non-anti-LGBT+ content
203,सर फीमेल फीमेल कैसे रिलेशन  बनाती है,Non-anti-LGBT+ content
204,खान सर जी इस कलयुग में सब कुछ इधर-उधर हो गया है बताएं आज के डेट में लोग कुत्ता कुत्ते गाय भैंस गधा किसी को नहीं छोड़ते इसका प्रभाव क्या है वैसे तो हर एक प्रजाति को अपनी प्रजाति के प्रति ही लगा होना चाहिए लेकिन यह क्या है कि लोग किसी भी जीव को अपना आधार बना देते हैं और हवस मिटाते हैं,Non-anti-LGBT+ content
205,Bisexuality sabse jyada khatarnak he. Na iss paar na uss paar.,Non-anti-LGBT+ content
206,Phir gender change krvate h Vo kis category me aye honge??,Non-anti-LGBT+ content
207,Mai Hindu  hu  but  mai  saare  videos  dekhta  hu...aur  khan  sir  ko real  Indian  deshbhakt  ki  tarah  dekhta  hu...the  real  hero,Non-anti-LGBT+ content
208, @Harshwardhan Bhadane  kya kah rahe ho sisy kya he Mera bf tha per abhi brekap ho gaya or usko ladkai pasnad he or vo sirf sex k liye muzhe use Kiya or muzhe usane sirf paiso ki help ki thi vo bhi abb kah raha he ko ab mene mesej kiya to vo police case karega usane muzhe paiso ki dhamki de alag kar diya pr muzhe barabad,Non-anti-LGBT+ content
209,Bhut km nhi bhut log h...homosexual 😂 khud bahar nhi aate sir,Non-anti-LGBT+ content
210,Sir i still have confusion with inter sex 🤔,Non-anti-LGBT+ content
211,Bn gye h  transman ka hmara group h,Non-anti-LGBT+ content
212,Aapko Dil se Dhanyawaad Sir Itna Kuch Samjahne Ka Liye ❤️,Non-anti-LGBT+ content
213,"Haa sahi kaha,
But muzhe to ladki ke sath hi hai but ladki milti hi nahi😔😔",Non-anti-LGBT+ content
214,aisa bh hota hai koi ldki ho...woh ldka bnna chaa raha ho...yaa woh dikhh bilkul ldki ki trnh raha ho....pr uski lowwr body ldko ki trnh ho....kya je possible hai??? kahi woh ldki ....transgender toh nahi??? if someone knows plz rply me...agr trtmt possible thn also rply me,Non-anti-LGBT+ content
215,Very good. Bahut achha samjhaya,Non-anti-LGBT+ content
216,Bhagwan ka shukr sahi  salamat paida kiya aani bat sir,Non-anti-LGBT+ content
217,"Fake hai bhai, pura toh english mein bola, jis ko English samajh na hai unko to samjha rahi hai.",Non-anti-LGBT+ content
218,Mujhe to bilkul bhi interest nai hai shaadi me. Mujhe female jaisa banna pasand hai.,Non-anti-LGBT+ content
219,"Sir I feel I m bi sexual, 
पता नहीं हु या फिर वो मेरी हवस थी",Non-anti-LGBT+ content
220, @sk  isa foreign country me bhi hota hi but vo log dimaag se bhut sankirn ho gaye hi . Or kanun Kya hi sabse bada uparwaale ka kanun hi . Bible kahati hi ye galat hi. Bible ke anusaar isa karna galat hi ise log narak ki aag me daale jayenge.,Non-anti-LGBT+ content
221,khan sir ye shemale kis group me ate hai. jinke pas breast hota hai aor penis v hota h. aor wo body relasn v bana sakte hai???,Non-anti-LGBT+ content
222, @Manoj Ji  bhai develop hi nhi hua toh issliye lactation bhi nhi hota. Sunaa karo sir kya bol rhe hai.,Non-anti-LGBT+ content
223,asexual,Non-anti-LGBT+ content
224,Khan sir salute,Non-anti-LGBT+ content
225,sab kuch thik tha... bs ye rog nhi hai... 4:26  bhagwaan ki banawat hai... prakritik hai.... Aur aap bhot ache video bnate hai..  bnate rahiye,Non-anti-LGBT+ content
226,Inter sex baby hoga,Non-anti-LGBT+ content
227, @hey  how you doin,Non-anti-LGBT+ content
