,lang,text,category,label
838,eng,Only positive and negative attracts while same pole attracts its a defect it must be cured its not a culture These things are not a natural                ,homophobic-derogation,1
840,eng,Think about one generation where no male wants to live with female and no female wants to live with male It will be the end of the humans Male to male should not be attracted for sexual desires they can be friends people think this as freedom but this is not Dont consider transgender as lesbians or gays They change their sex and then they are attracted to opposite sex Dont think that whatever foreign countries do as correct We were the people who were leading culturally they should follow us not the reverse                ,homophobic-derogation,1
879,eng,Men who have sex with men account for the largest proportion of new HIV infections reported in Canada Canadian Red Cross Society introduced a blood donor eligibility criterion that excluded all men who have had sex with a man even once since 1977                ,homophobic-derogation,1
921,eng,We should not encourage this judgment  because if u keep have  with same gender how your family will grow  What about children Leave about the country   God has given opportunity to live with boy and girl only in this world   Not same gender                ,homophobic-derogation,1
926,eng,USA person is a true gay Indian person who is forced to be a gay Sort of breakup story                ,homophobic-derogation,1
930,eng,You father is getting by homosexual then how to you born in the world Your speech was not justice for human being very talented So your homosexual thinking created and developed by yourself and by your living situation Thats your problem so dont criticize to anybody for this issues Peoples be allotted and keep to distance of this type of guys I advise to all the peoples especially for young generations This is our culturally very bad and worst activities and Gods is not creating this type of homosexual mans and lespian womans                ,homophobic-derogation,1
972,eng,These people support homosexual because they do not want to take responsibility like childrenjust live without any use                ,homophobic-derogation,1
973,eng,U tried to prank a normal girl but unfortunately it was a transgender so u changed the whole play Whatsoever this video has turned out to be  a chance for understanding their feelings Be careful when u try to prank Dont do everything for views and money                ,transphobic-derogation,5
981,eng,Madhan anna homosexual is wrong thing it have been proved this is not genetic pblm this is a kind of bad habit for eg if a person has smoking habit tht man can overcomes this habit Likewise it can be  overcome who the person are homosexual  if the homosexual takeplace the sperm frm men  the ovary for women can be affected it cause death of small child   this is also a kind of murder                ,homophobic-derogation,1
985,eng,Dont give freedom for this type people  Wast very bad culture                ,homophobic-derogation,1
1007,eng,Govt must appoint a thiru nangai police to arrest these people                ,homophobic-derogation,1
1034,eng,They are bastards morning 4 o clock they are starting collections if am sleeping also they are waking me assholes                ,homophobic-derogation,1
1095,eng,Sathya Narayanan  it was encouraged in western world even today  Its seen as an alternative to marriage For example  Few women groups sayencourage  this way of life to escape from men they claim men are aggressive n dominant  Escape from them n stay with your own gender I meant those kind of things Of course its a threat to humanity  Its one of the main reason why white ppl are becoming minorities in the own land                ,homophobic-derogation,1
1110,eng,priyadharshini kannan   Are you telling narrow minded ok understand Broad minded person will know and accept my point Love and attraction doesnt have any gender But with sex it will become more crazy bitch Go and see what the civilization and diesase occurs on same gender relatively with sex and health in human bodu                ,homophobic-derogation,1
1115,eng,Bible says omosexual is sin against human resource coz Satan want to stop human population by this filthy law and order so accept Bible then you will find redemption from sin                ,homophobic-derogation,1
1141,eng,Every one should raise they tone What can only one do                 ,homophobic-threatening,2
1142,eng,Intha mutta pundainga thola thaanga mudila  bus la ponalum savadikuthunga  train la ponalum savadikuthunga  railway should stop them entering the train and govt should ban them from entering public transport who create nuisance For this  purpose  govt should create a transgender police force this creating employment as well as controlling this kind of nuisance                ,homophobic-derogation,1
1167,eng,After 55 of your age you will realize why this is wrong                ,homophobic-derogation,1
1172,eng,Whoever and whatever against the nature is not acceptable                ,homophobic-derogation,1
1175,eng,Divorce Case for LGBT in India Reason for divorce  Piles complaint               ,homophobic-derogation,1
1189,eng,anu lavanya  also I will give u an example that there are people who likely to theft which they found to be different even though they are rich and can buy its their disease this should be treated with proper counseling not to be encouraged and on what basis you are saying this is natural even though there is no proper proof this is something spreaded between peoples and we educated are going with others words                ,homophobic-derogation,1
1191,eng,Even Dogs know its pair It might not  be with a same gendar Not U Law is against the nature               ,homophobic-derogation,1
1214,eng,Dont confused this is normal but dont have addicted in sex                ,homophobic-derogation,1
1239,eng,We want the people who are supporting them to go and celebrate this pride in any of these countries  UAE Qatar Saudi Arabia Iran Brunei First u respect the place where you born from and then you talk about Ur rights and Ur freedom We are not against anyones  interest  Does Ur parents or grandparents were like this absolutely not all our elders followed the culture they brought up Grow up folks we are not born and brought up in western we still use water only to wash the shit not using paper We Indians are lead and more civilized society in the world                ,homophobic-derogation,1
1248,eng,Homosexual are hypocrites                ,homophobic-derogation,1
1288,eng,What happens if all people Lesbian and gays in the worldNo population riseit is human nature or man madewe dont knowbut one thingall modern culture letting to destroy humanity and humangay or Lesbian is individual choicethey can live togetherbut why govt also initiating thisone thing no one should forgotif there parents were gay or lesbian meansthey wont born itselfi not hurting themthis is my point of viewAll are humansany one hurt means sorry                ,homophobic-derogation,1
1301,eng,sagothari malini this is very badunnaturalshame for humenbeing it up to you your life you may do what you wantits your personel but dont explain like this pls try to Give better advice for our tamil society not poison be tamil a tamil cultured women i  am sorry people like you sisternonsence                ,homophobic-derogation,1
1307,eng,Its against nature  If it continue world population automatically end  Only animals lives in this world  Iam not against feeling  But this is wrong        ,homophobic-derogation,1
1317,eng,Nowadays gay love is not true because all persons are considering only for sexxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx                ,homophobic-derogation,1
1332,eng,Bro it was really sin definitely they will punished                ,homophobic-derogation,1
1335,eng,Really amazingfeel proud but for your own self you people should not against our culture  pls try to be our own cultural that means just try to show you people in discplinary manner that is try to avoid aginst culture by your actions                ,homophobic-derogation,1
1343,eng,Soon there going to be organizations aksing for the legalization of pedophilia  incest in the name of sexual freedom                ,homophobic-derogation,1
1344,eng,Nice movie but  India not possible gay relationship marriage maximum gay people looking  sex money not love I have experience my age 31 then my life and healthy total destroy I am 4 times suicide not death present only living friends plz dont destroy ur life  be safe health and life                 ,homophobic-derogation,1
1347,eng,Shame on u hell is waiting hell repent or perish judgement is near                ,homophobic-derogation,1
1362,eng,Dont support lgbt guys Future will lost                ,homophobic-derogation,1
1375,eng,In India hemosex marriage and lesbian marriage God will punish wat is going to happen to india                ,homophobic-derogation,1
1378,eng,If it continue  Future generation automatically end   Only animals live in the country   Iam not against humanity but this is wrong        ,homophobic-derogation,1
1447,eng,Dinesh Jeyachandran  but will ya let your own siblings I had arguments with most of atheists in London when I was studying   100 of them supports lesbianism and gayism  But none of them support two sisters doing the act     So they got different views there I asked them why cant you support two sisters love who are attracted each other They replied its nasty    Mate  lemme say ya something Every nation got their traditional life and culture We arent supposed to go out from it     In India  especially north side showing belly and navel is normal and modesty but in UK its vulgarity     But in the UK showing cleavages is normal thing but here in India Its vulgar thing    God created us with pairs Read Vedas and try to live what it says      We cant go against God                 ,homophobic-derogation,1
1451,eng,Public should gather if someone is harassed by this cheap creatures                ,homophobic-derogation,1
1455,eng,Mathan Gowry is a gay  i know                ,homophobic-derogation,1
1463,eng,Regardless what the science said I belive  that man were created for women and vice versa the rest is just the feeling from the satan We have hundreds of movies telling to accept the fact that the child is gay can we also have a movie made on the parents feeling and their life after The struggle imagine if its their only kid Btw why only portraying only the beautiful part in gay love Why not showing the consequences hiv Std I like the content on the love of a mother to a son amd how disapointed she were when she got to know                ,homophobic-derogation,1
1476,eng,Its fully wrong frbiden                ,homophobic-derogation,1
1489,eng,Now world has been filled with these kind of pseudo intellectuals Their fate is sealed and they reap what they have sowed                ,homophobic-derogation,1
1495,eng,Its very shame judgment                ,homophobic-derogation,1
1517,eng,Rajeswari Rajagopalan  Sisterlast week for not giving money I was kicked by one transgenderat the time I was going through severeseveral problems this act made me ragehence I beaten that transgender then a group hurled abuse on meno one uttered a single word against thembut I too abused them badlyfinally lodged a complaint to SPCM cellwhat they are doing here is purely an extortion culpable under IPC 384                ,transphobic-threatening,6
1530,eng,Filthy to god repent or perish judgement is near                ,homophobic-derogation,1
1553,eng,Get lost This is against the rules of every religion This homosexuality stuff is against the rules of GOD GODS wrath will hail upon them BEWARE BEWARE BEWARE GETBACKSECTION377 SAYNOTOHOMOSEXUALITY                ,homophobic-derogation,1
1559,eng,Its totally wrong Foreign cultures is different from our culture So a men is to a woman  This is a Sin                ,homophobic-derogation,1
1560,eng,More torturing everybody                ,homophobic-threatening,2
1563,eng,Any btm sucker                ,homophobic-derogation,1
1598,eng,Samuel 1211 New International Version NIV  11 This is what the Lord says Out of your own household I am going to bring calamity on you Before your very eyes I will take your wives and give them to one who is close to you and he will sleep with your wives in broad daylight  Iduku homosexual thevalam                 ,homophobic-threatening,2
1604,eng,Video was informative and interesting still things have to be proved how this phenomenon is happening which is quite precise that the existence of homosexuality is natural or notif we start saying it is individual rights to live their lives on their own terms then why do we have law and order jail  police because even a dacoity or rapist has his own terms and reason  to commit a crime                ,homophobic-derogation,1
1617,eng,Against of natural                ,homophobic-derogation,1
1636,eng,vives kale viparitha buthi May Ramya R RIP soon You are danger to this society Go outside See the sky Then spit your salaiva                ,homophobic-threatening,2
1644,eng,Humans are DESIGNED on A PURPOSE with an ACCOUNTABILITYon Planet earth if you forget your DESIGNER YOU FORGET YOUR PURPOSE if you Have no Purpose There is no need of any ACCOUNTABILITY and then YOU WILL MEET YOUR DESTINY with DESTRUCTION  at THE END                ,homophobic-threatening,2
1664,eng,I have a question will you let your sister or daughter to lead her life like what she desires Even if she fancy with lesbianism                ,homophobic-derogation,1
1668,eng,138  The Muslim holy book the Koran tells the story of Lot and the destruction of Sodom  and sodomy in Arabic is known as liwat based on Lots name   Koran says men having sex with eachother should be punished You are shame                ,homophobic-derogation,1
1714,eng,This is why I hate chennai shit                ,homophobic-derogation,1
1731,eng,First of all i wanna know onething Do you think oppression  harashment all happen only in lgbtq it is everywhere Each individual is having their own struggle just becoz you become make up artist from lgbtq  you think you have inspired masses   Pls dont say people as  fans  whom do you think you are  you are no spl you are normal as we are You have nt done anything spl                ,homophobic-derogation,1
1767,eng,Turn to god turn from wicked ways                ,homophobic-derogation,1
1777,eng,Scripted waste of time                ,homophobic-derogation,1
1828,eng,If hungry eat only food not dung                ,homophobic-derogation,1
1841,eng,Police should punish them                ,homophobic-threatening,2
1892,eng,I dont support this because its against nature                ,homophobic-derogation,1
1912,eng,This judgement ll lead to Aids and cultural Decline                ,homophobic-derogation,1
1941,eng,Thuuu    Samuel 1211 New International Version NIV  11 This is what the Lord says Out of your own household I am going to bring calamity on you Before your very eyes I will take your wives and give them to one who is close to you and he will sleep with your wives in broad daylight                ,homophobic-threatening,2
1966,eng,I am against to it                ,homophobic-derogation,1
1974,eng,Elam ok bro Force panni How can u love ur wife so much being a gay I dont understand how s it possible bro Ungala neengale yemathringala                ,homophobic-derogation,1
1975,eng,Too muchthis should be punishable                ,homophobic-derogation,1
1976,eng,Ur attitude and maturity is awesome but ur supporting and giving voice to wrong direction                ,homophobic-derogation,1
1982,eng,Oversmart speech but illogical to nature harmful to humans actually these people affected by harmone imbalance                ,homophobic-derogation,1
1991,eng,first of all public should stop putting money for thirunangais begging                ,homophobic-threatening,2
2003,eng,World new disaster                ,homophobic-derogation,1
2026,eng,Body is female But brain is male Genetic disorder                ,transphobic-derogation,5
2058,eng,Even beasts and animals will not do thisadvance RIP                ,homophobic-derogation,1
2061,eng,If we are doing anything against natureit will be a disastrous for us                ,homophobic-derogation,1
2078,eng,Bro ithu oru asingamana vishyam                  ,homophobic-derogation,1
2098,eng,Blue t shirt oru gay punda                ,homophobic-derogation,1
2104,eng,I oppose this  While other countrys following our culture we people Following their countrys culture  makes our own culture garbage              ,homophobic-derogation,1
2109,eng,Nobody will come Plug the nose in ur bedroom think about STD and STI this is the point where puliraja and pulirani  already we r no 1                ,homophobic-derogation,1
2114,eng,Peoples Need to know about LGBT sex  I think its not wrong                ,homophobic-derogation,1
2136,eng,I thing modi and amhrisha going to do hemosex marriage                ,homophobic-derogation,1
2151,eng,anu lavanya  its the feeling they have developed with intention its all about the mindset it has been a news that doctor who said this kind of behaviour as harmonial issue itself a gay it should be treated properly not to be encouraged                ,homophobic-derogation,1
2160,eng,Let it be so but man is not an animal hee is an intelligent creature Why should he follow such behavior                ,homophobic-derogation,1
2220,eng,Cursed bastard 9s                ,homophobic-threatening,2
2227,eng,Why do u people marry and burn innocent straight people lives                ,homophobic-derogation,1
2229,eng,I hate h is very very bad in human life Madan I like you your all videos                ,homophobic-derogation,1
2237,eng,Aids coming soon                ,homophobic-derogation,1
2252,eng,I think end of the all humans get HIV                ,homophobic-derogation,1
2264,eng,The western countries choosed india to spread and legalized this section 377 they achived their target Next they will try with saround countries To implement this law as soonThis type law is completely against with nature We know the way of enviromental polution Cutting trees putting carbage in to rivers burning garbage etc These are the things affacting the nature directly When we act against naturethe nature will start to fight with us The law related to LGBT is also like we are calling the nature for challange Sex with man and weman is nature But sex with boy and boy or a girl with girl is completely against with nature If we do and accept definately we will face facts like  HIV AND AIDS DESEASE DECREASE IN POPULATION MUTUAL DIVOURSE CASES PROSTITUTIONS NATURAL DISASTERS SPECIFICALLY EARTH QUAKE  study the history of german before and after implemented this law CULTURAL IMPACTSand many It will not take longer time to get the bad feedback from this lawThey are try to demolish the india this is obsolutely clear                ,homophobic-derogation,1
2268,eng,Stupid film there is no gays in the world these are all their imagine only                ,homophobic-derogation,1
2282,eng,Gay and lesbianisim is their own choice  But they should not force  or scare a common ppls  If u want to do keep it in your four walls                 ,homophobic-derogation,1
2306,eng,gay culture does not suit the Indian culture thats it                ,homophobic-derogation,1
2312,eng,Really excellent movieI feel that no one are ready to take bold steps like Latif But mere out of realitymost of the gay seek only sx               ,homophobic-derogation,1
2313,eng,Govind svi K i understand ur problems But legalising the act is shameful to india We are indians not americans or not like other foreigners                ,homophobic-derogation,1
2314,eng,hello this is not mental illness or psychological problem but certainly it is the sin you did in your previous birth that you are facing it in this birth called karma vinaigal or reaction  Therefore  do not create any scene now and be humble for the rights the world has given you with its kindness  You claim this as natural as you have no other choice but to defend yourself  but nature do not give you a damn If you are not able to go through the process of reproduction cycle  you are actually not in favour of the natures ruling  Have you no gratitude for your parents who brought you to this world   Well nature does not make mistake I guess                ,homophobic-derogation,1
2317,eng,Just dont give importance to it  Getting into somebodys desire is wrong  At the same time dont encourage LGBT  Its a failure in western countries n has the capacity to destroy humanity                ,homophobic-derogation,1
2336,eng,Every transenter says they are doing prostituions  for food but they are wrong for food they need only small amount not 10000 per knight                ,transphobic-derogation,5
2383,eng,Well said biblically its a sin                ,homophobic-derogation,1
2398,eng,Bible  Leviticus 18 22  Romans 1 29 to 32 get good answer                ,homophobic-derogation,1
2400,eng,A small minority trying to impose their way of life on the majority its disgusting                ,homophobic-derogation,1
2438,eng,next 10 yearsla total world people Hiv patients 100 conform no children                ,homophobic-derogation,1
2459,eng,I think its wrong But if any of friends doing this i never punish them and never break my relation until they didnt harm or approach me Why our religion oppose this practice because this practice may be increase in day by day in bible they mention that lots of bisexual people lived in lothal they disturbing others they are fight to have 2 angels who were come for abraham brother house After that place burned and dead sea formed there                ,homophobic-derogation,1
2480,eng,ms kushboo will support for her two daughter involiving thz things                ,homophobic-derogation,1
2502,eng,In future a group of people will come  claim that they wants to marry a Animal own Father Mother Sister  Brother if someone says its unnatural then they will say you are not too modern or your thoughts are not mature to understand the pure love they are also have freedom to choose with whom they want to love We should respect their feelings they are also humans at the end love is love if our feelings attracted to Animals or own parents  siblings what we can do am i correct guys LGBTQ COMMUNITY  ‍‍‍‍‍‍‍‍  Hit the like button below those who are against this kind of act or community  share your thoughts                 ,homophobic-derogation,1
2548,eng,Against natural human race Wrong judgement for fucking basterds judges                 ,homophobic-derogation,1
2549,eng,If you watch more lesbians scenes your harmones will change  it is simple   no need of science and technology to understand this fact  a man will get lust on a woman a woman will get lust on a man  this is nature and creation of the lord  if you say you are correct   by the way follow  next generation will not be here the world will come to end  im not angry about you I like your brave but poor you confuse this society   you will get best rewards when you will die by the one who gave you birth                ,homophobic-derogation,1
2563,eng,World will end soon                ,homophobic-derogation,1
2564,eng,According to myself LGBT is the most awkward thing and i dont know how it was good to people                ,homophobic-derogation,1
2577,eng,sex is god gifts we shout not misuse this gay and gay marriage not good               ,homophobic-derogation,1
2578,eng,BIBLE SAYS 2CORINTHIANS 510 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad                ,homophobic-derogation,1
2617,eng,Momosexual are more affected with std                ,homophobic-derogation,1
2719,eng,They harass everyone in bus and  do this  for living                ,homophobic-derogation,1
2797,eng,u r devil follower not god                ,homophobic-derogation,1
2837,eng,anu lavanya  it seems that some people likely to theft you give importance to their feelings if some men have a sexual feeling with others wife Is that u r going to encourage There should be law to protect people going in a wrong way this is something they are developing by their mindset not the natural one                ,homophobic-derogation,1
2857,eng,If theres any counseling needed you should be the first one to get it Even after watching this movie people like you still say shit like this I dont get why people choose to be so closed minded like this homophobic idiots                ,homophobic-derogation,1
2859,eng,If you Read article 377 carefully it decriminalised sex with animals as well What an evil verdict                 ,homophobic-derogation,1
2878,eng,Ishvar Mahendiran if they are hungry they wont think like this thats what Im saying  If they work hard and earn money there wont be any time to think like this                ,homophobic-derogation,1
2892,eng,shame on those peoples feeling ok with this shit LGB377                ,homophobic-derogation,1
2900,eng,Kadhayalla Nijam  Male and female combination is normalif anything apart from this is dangerous                ,homophobic-derogation,1
2920,eng,Though I dont support same sex marriages  I support transgender rights  naturalism nudity included Theres a famous quote by a female non English European nudist  NUDISTS HAVE NO PROBLEM BEFRIENDING PEOPLE WHO ARE DRESSED BUT ITS NOT VICE VERSA  FYI ANCIENT CIVILIZATIONS WERE WAY MORE MODERNISED THAN PRESENT UNIVERSE                ,homophobic-derogation,1
2922,eng,Its totally wrongdont compare Western  country r usjudge oru mental paaya                ,homophobic-derogation,1
2927,eng,In my opinion supreme court decision may have been based on reducing the world population  freedom of choice                ,homophobic-derogation,1
2928,eng,Horrible People like this should be given immediate treatment why on the earth you people get a treatment Instead of boasting yourselves proudly  They are a curse to the entire earth The future generation will be spoiled so badly with such people Im literally worried because of them                ,homophobic-derogation,1
2960,eng,Cats and dogs do not get married and have sex with  any cats and dogs the come across Will we take example of that                ,homophobic-derogation,1
2977,eng,BIBLE SAYS 1CORINTHIANS 6910 Know ye not that the unrighteous shall not inherit the kingdom of God Be not deceived neither fornicators nor idolaters nor adulterers nor effeminate nor abusers of themselves with mankind nor thieves nor covetous nor drunkards nor revilers nor extortioners shall inherit the kingdom of God                ,homophobic-derogation,1
2978,eng,Vulgarity in them make us to feel hating                ,homophobic-derogation,1
2999,eng,Its totally against god                ,homophobic-derogation,1
3006,eng,Parcel to pakistan and shoot                ,homophobic-derogation,1
3020,eng,Human being is going to destroyed LPGT This is very bull shit judgement give to big history mistake Dont speak to individual man freedom for LPGT Because God is born only gents and ladies only                 ,homophobic-derogation,1
3049,eng,Thank you so much for spending your valuable time to go through my pointsofview Honestly I am in no way perfect to comment on anyones action but this is just my thoughts from what I perceived around me I believe in this fact that There is a time for everything a time for committing mistakes and a time to realize and regret for the mistakes done I sincerely wish and hope that these precious souls realize their shortcomings one day Thanks again                ,homophobic-derogation,1
3050,eng,Any btm sucker                ,homophobic-derogation,1
3054,eng,For all questions she is repeating same answer If you adopt any child will you bought up with your same attitudes like homosexual                ,homophobic-derogation,1
3084,eng,Im sharing my experience pls read it two trans came near stella maris CLG side they tease some girls there my aunt and my periyamma asked why u do like these they beaten my aunt  periyamma they got beating  they scared all the people all are watching My uncle was also there He was a priest He cant beat them But he was so angered and cried control his angerbecause the government control them and put case against the poor peoplewhy they want to become a transgod made us by his own breath this wat they do I cant write anymore                 ,transphobic-derogation,5
3095,eng,Homosexuality is against the will of God                ,homophobic-derogation,1
3099,eng,Today also one transgender scolded me for not giving money Since I was not having change I said I dont have She scolded me badly Felt very bad I always give money to them Thy some time dont understand us                ,transphobic-derogation,5
3114,eng,The Sin of Sodom  Gommarah                ,homophobic-derogation,1
3143,eng,No homosexual is not right thing to do To avoid this parents must pay full attention on their childrens activities and teach a good manners in them                ,homophobic-derogation,1
3150,eng,I have to experience like that So sad                ,homophobic-derogation,1
3155,eng,Hello Bro Im glad someone is frankly talking about this topic  just like you said that each group of people have their own perspective about homosexuality  Scientists Religious or Psychologists our astrologers also have their perspective they have said that Sarpa Dosham could be the reason for homosexuality Sarpa Dosham is basically a defect in ones DNA structure a structure that is not geometrically correct with how it actually supposed to be Cosmic laws and the cosmic creation is above everything anything thats not aligned with the creation is seen as a defect  So my perspective is also the same I see homosexuality as defect in ones body something that nature would never accept There are some people who like to have sex with animals and would go to an extent to even marry an animal does nature accept their intimacy No its clearly an act of perversion Similarly homosexuality is also an act of perversion should not be legalized                ,homophobic-derogation,1
2,mal,Mumbail poyal ivarude thaനീ niram kaanamPaisa chodhichal koduthillel adikkukayum9 theri parayukayum cheyyum athuകൊണ്ട്  thanneya veruppu,transphobic-derogation,5
4,mal,ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane okke abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,transphobic-derogation,5
5,mal,Komalan gays onnum sheri alla Avarku nalla oru lyf kittila,homophobic-derogation,1
7,mal,aadhyam nadanna കുന്ദൻ ,homophobic-derogation,1
9,mal,നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ ,homophobic-derogation,1
12,mal,ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,transphobic-derogation,5
16,mal,Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,transphobic-derogation,5
20,mal,ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ,homophobic-threatening,2
